car_ID,price,fueltype,fuelsystem,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
102,13499,gas,mpfi,std,four,sedan,fwd,front,ohcv,100.4,181.7,66.5,55.1,3095,six,181,3.43,3.27,9,152,5200,17,22
103,14399,gas,mpfi,std,four,wagon,fwd,front,ohcv,100.4,184.6,66.5,56.1,3296,six,181,3.43,3.27,9,152,5200,17,22
104,13499,gas,mpfi,std,four,sedan,fwd,front,ohcv,100.4,184.6,66.5,55.1,3060,six,181,3.43,3.27,9,152,5200,19,25
105,17199,gas,mpfi,std,two,hatchback,rwd,front,ohcv,91.3,170.7,67.9,49.7,3071,six,181,3.43,3.27,9,160,5200,19,25
106,19699,gas,mpfi,turbo,two,hatchback,rwd,front,ohcv,91.3,170.7,67.9,49.7,3139,six,181,3.43,3.27,7.8,200,5200,17,23
107,18399,gas,mpfi,std,two,hatchback,rwd,front,ohcv,99.2,178.5,67.9,49.7,3139,six,181,3.43,3.27,9,160,5200,19,25
108,11900,gas,mpfi,std,four,sedan,rwd,front,l,107.9,186.7,68.4,56.7,3020,four,120,3.46,3.19,8.4,97,5000,19,24
109,13200,diesel,idi,turbo,four,sedan,rwd,front,l,107.9,186.7,68.4,56.7,3197,four,152,3.7,3.52,21,95,4150,28,33
110,12440,gas,mpfi,std,four,wagon,rwd,front,l,114.2,198.9,68.4,58.7,3230,four,120,3.46,3.19,8.4,97,5000,19,24
111,13860,diesel,idi,turbo,four,wagon,rwd,front,l,114.2,198.9,68.4,58.7,3430,four,152,3.7,3.52,21,95,4150,25,25
112,15580,gas,mpfi,std,four,sedan,rwd,front,l,107.9,186.7,68.4,56.7,3075,four,120,3.46,2.19,8.4,95,5000,19,24
113,16900,diesel,idi,turbo,four,sedan,rwd,front,l,107.9,186.7,68.4,56.7,3252,four,152,3.7,3.52,21,95,4150,28,33
114,16695,gas,mpfi,std,four,wagon,rwd,front,l,114.2,198.9,68.4,56.7,3285,four,120,3.46,2.19,8.4,95,5000,19,24
115,17075,diesel,idi,turbo,four,wagon,rwd,front,l,114.2,198.9,68.4,58.7,3485,four,152,3.7,3.52,21,95,4150,25,25
116,16630,gas,mpfi,std,four,sedan,rwd,front,l,107.9,186.7,68.4,56.7,3075,four,120,3.46,3.19,8.4,97,5000,19,24
117,17950,diesel,idi,turbo,four,sedan,rwd,front,l,107.9,186.7,68.4,56.7,3252,four,152,3.7,3.52,21,95,4150,28,33
118,18150,gas,mpfi,turbo,four,sedan,rwd,front,l,108,186.7,68.3,56,3130,four,134,3.61,3.21,7,142,5600,18,24
119,5572,gas,2bbl,std,two,hatchback,fwd,front,ohc,93.7,157.3,63.8,50.8,1918,four,90,2.97,3.23,9.4,68,5500,37,41
120,7957,gas,spdi,turbo,two,hatchback,fwd,front,ohc,93.7,157.3,63.8,50.8,2128,four,98,3.03,3.39,7.6,102,5500,24,30
121,6229,gas,2bbl,std,four,hatchback,fwd,front,ohc,93.7,157.3,63.8,50.6,1967,four,90,2.97,3.23,9.4,68,5500,31,38
122,6692,gas,2bbl,std,four,sedan,fwd,front,ohc,93.7,167.3,63.8,50.8,1989,four,90,2.97,3.23,9.4,68,5500,31,38
123,7609,gas,2bbl,std,four,sedan,fwd,front,ohc,93.7,167.3,63.8,50.8,2191,four,98,2.97,3.23,9.4,68,5500,31,38
124,8921,gas,2bbl,std,four,wagon,fwd,front,ohc,103.3,174.6,64.6,59.8,2535,four,122,3.35,3.46,8.5,88,5000,24,30
125,12764,gas,spdi,turbo,two,hatchback,rwd,front,ohc,95.9,173.2,66.3,50.2,2818,four,156,3.59,3.86,7,145,5000,19,24
126,22018,gas,mpfi,std,two,hatchback,rwd,front,ohc,94.5,168.9,68.3,50.2,2778,four,151,3.94,3.11,9.5,143,5500,19,27
127,32528,gas,mpfi,std,two,hardtop,rwd,rear,ohcf,89.5,168.9,65,51.6,2756,six,194,3.74,2.9,9.5,207,5900,17,25
128,34028,gas,mpfi,std,two,hardtop,rwd,rear,ohcf,89.5,168.9,65,51.6,2756,six,194,3.74,2.9,9.5,207,5900,17,25
129,37028,gas,mpfi,std,two,convertible,rwd,rear,ohcf,89.5,168.9,65,51.6,2800,six,194,3.74,2.9,9.5,207,5900,17,25
130,31400.5,gas,mpfi,std,two,hatchback,rwd,front,dohcv,98.4,175.7,72.3,50.5,3366,eight,203,3.94,3.11,10,288,5750,17,28
131,9295,gas,mpfi,std,four,wagon,fwd,front,ohc,96.1,181.5,66.5,55.2,2579,four,132,3.46,3.9,8.7,90,5100,23,31
132,9895,gas,mpfi,std,two,hatchback,fwd,front,ohc,96.1,176.8,66.6,50.5,2460,four,132,3.46,3.9,8.7,90,5100,23,31
133,11850,gas,mpfi,std,two,hatchback,fwd,front,ohc,99.1,186.6,66.5,56.1,2658,four,121,3.54,3.07,9.31,110,5250,21,28
134,12170,gas,mpfi,std,four,sedan,fwd,front,ohc,99.1,186.6,66.5,56.1,2695,four,121,3.54,3.07,9.3,110,5250,21,28
135,15040,gas,mpfi,std,two,hatchback,fwd,front,ohc,99.1,186.6,66.5,56.1,2707,four,121,2.54,2.07,9.3,110,5250,21,28
136,15510,gas,mpfi,std,four,sedan,fwd,front,ohc,99.1,186.6,66.5,56.1,2758,four,121,3.54,3.07,9.3,110,5250,21,28
137,18150,gas,mpfi,turbo,two,hatchback,fwd,front,dohc,99.1,186.6,66.5,56.1,2808,four,121,3.54,3.07,9,160,5500,19,26
138,18620,gas,mpfi,turbo,four,sedan,fwd,front,dohc,99.1,186.6,66.5,56.1,2847,four,121,3.54,3.07,9,160,5500,19,26
139,5118,gas,2bbl,std,two,hatchback,fwd,front,ohcf,93.7,156.9,63.4,53.7,2050,four,97,3.62,2.36,9,69,4900,31,36
140,7053,gas,2bbl,std,two,hatchback,fwd,front,ohcf,93.7,157.9,63.6,53.7,2120,four,108,3.62,2.64,8.7,73,4400,26,31
141,7603,gas,2bbl,std,two,hatchback,4wd,front,ohcf,93.3,157.3,63.8,55.7,2240,four,108,3.62,2.64,8.7,73,4400,26,31
142,7126,gas,2bbl,std,four,sedan,fwd,front,ohcf,97.2,172,65.4,52.5,2145,four,108,3.62,2.64,9.5,82,4800,32,37
143,7775,gas,2bbl,std,four,sedan,fwd,front,ohcf,97.2,172,65.4,52.5,2190,four,108,3.62,2.64,9.5,82,4400,28,33
144,9960,gas,mpfi,std,four,sedan,fwd,front,ohcf,97.2,172,65.4,52.5,2340,four,108,3.62,2.64,9,94,5200,26,32
145,9233,gas,2bbl,std,four,sedan,4wd,front,ohcf,97,172,65.4,54.3,2385,four,108,3.62,2.64,9,82,4800,24,25
146,11259,gas,mpfi,turbo,four,sedan,4wd,front,ohcf,97,172,65.4,54.3,2510,four,108,3.62,2.64,7.7,111,4800,24,29
147,7463,gas,2bbl,std,four,wagon,fwd,front,ohcf,97,173.5,65.4,53,2290,four,108,3.62,2.64,9,82,4800,28,32
148,10198,gas,mpfi,std,four,wagon,fwd,front,ohcf,97,173.5,65.4,53,2455,four,108,3.62,2.64,9,94,5200,25,31
149,8013,gas,2bbl,std,four,wagon,4wd,front,ohcf,96.9,173.6,65.4,54.9,2420,four,108,3.62,2.64,9,82,4800,23,29
150,11694,gas,mpfi,turbo,four,wagon,4wd,front,ohcf,96.9,173.6,65.4,54.9,2650,four,108,3.62,2.64,7.7,111,4800,23,23
151,5348,gas,2bbl,std,two,hatchback,fwd,front,ohc,95.7,158.7,63.6,54.5,1985,four,92,3.05,3.03,9,62,4800,35,39
152,6338,gas,2bbl,std,two,hatchback,fwd,front,ohc,95.7,158.7,63.6,54.5,2040,four,92,3.05,3.03,9,62,4800,31,38
153,6488,gas,2bbl,std,four,hatchback,fwd,front,ohc,95.7,158.7,63.6,54.5,2015,four,92,3.05,3.03,9,62,4800,31,38
154,6918,gas,2bbl,std,four,wagon,fwd,front,ohc,95.7,169.7,63.6,59.1,2280,four,92,3.05,3.03,9,62,4800,31,37
155,7898,gas,2bbl,std,four,wagon,4wd,front,ohc,95.7,169.7,63.6,59.1,2290,four,92,3.05,3.03,9,62,4800,27,32
156,8778,gas,2bbl,std,four,wagon,4wd,front,ohc,95.7,169.7,63.6,59.1,3110,four,92,3.05,3.03,9,62,4800,27,32
157,6938,gas,2bbl,std,four,sedan,fwd,front,ohc,95.7,166.3,64.4,53,2081,four,98,3.19,3.03,9,70,4800,30,37
158,7198,gas,2bbl,std,four,hatchback,fwd,front,ohc,95.7,166.3,64.4,52.8,2109,four,98,3.19,3.03,9,70,4800,30,37
159,7898,diesel,idi,std,four,sedan,fwd,front,ohc,95.7,166.3,64.4,53,2275,four,110,3.27,3.35,22.5,56,4500,34,36
160,7788,diesel,idi,std,four,hatchback,fwd,front,ohc,95.7,166.3,64.4,52.8,2275,four,110,3.27,3.35,22.5,56,4500,38,47
161,7738,gas,2bbl,std,four,sedan,fwd,front,ohc,95.7,166.3,64.4,53,2094,four,98,3.19,3.03,9,70,4800,38,47
162,8358,gas,2bbl,std,four,hatchback,fwd,front,ohc,95.7,166.3,64.4,52.8,2122,four,98,3.19,3.03,9,70,4800,28,34
163,9258,gas,2bbl,std,four,sedan,fwd,front,ohc,95.7,166.3,64.4,52.8,2140,four,98,3.19,3.03,9,70,4800,28,34
164,8058,gas,2bbl,std,two,sedan,rwd,front,ohc,94.5,168.7,64,52.6,2169,four,98,3.19,3.03,9,70,4800,29,34
165,8238,gas,2bbl,std,two,hatchback,rwd,front,ohc,94.5,168.7,64,52.6,2204,four,98,3.19,3.03,9,70,4800,29,34
166,9298,gas,mpfi,std,two,sedan,rwd,front,dohc,94.5,168.7,64,52.6,2265,four,98,3.24,3.08,9.4,112,6600,26,29
167,9538,gas,mpfi,std,two,hatchback,rwd,front,dohc,94.5,168.7,64,52.6,2300,four,98,3.24,3.08,9.4,112,6600,26,29
168,8449,gas,mpfi,std,two,hardtop,rwd,front,ohc,98.4,176.2,65.6,52,2540,four,146,3.62,3.5,9.3,116,4800,24,30
169,9639,gas,mpfi,std,two,hardtop,rwd,front,ohc,98.4,176.2,65.6,52,2536,four,146,3.62,3.5,9.3,116,4800,24,30
170,9989,gas,mpfi,std,two,hatchback,rwd,front,ohc,98.4,176.2,65.6,52,2551,four,146,3.62,3.5,9.3,116,4800,24,30
171,11199,gas,mpfi,std,two,hardtop,rwd,front,ohc,98.4,176.2,65.6,52,2679,four,146,3.62,3.5,9.3,116,4800,24,30
172,11549,gas,mpfi,std,two,hatchback,rwd,front,ohc,98.4,176.2,65.6,52,2714,four,146,3.62,3.5,9.3,116,4800,24,30
173,17669,gas,mpfi,std,two,convertible,rwd,front,ohc,98.4,176.2,65.6,53,2975,four,146,3.62,3.5,9.3,116,4800,24,30
174,8948,gas,mpfi,std,four,sedan,fwd,front,ohc,102.4,175.6,66.5,54.9,2326,four,122,3.31,3.54,8.7,92,4200,29,34
175,10698,diesel,idi,turbo,four,sedan,fwd,front,ohc,102.4,175.6,66.5,54.9,2480,four,110,3.27,3.35,22.5,73,4500,30,33
176,9988,gas,mpfi,std,four,hatchback,fwd,front,ohc,102.4,175.6,66.5,53.9,2414,four,122,3.31,3.54,8.7,92,4200,27,32
177,10898,gas,mpfi,std,four,sedan,fwd,front,ohc,102.4,175.6,66.5,54.9,2414,four,122,3.31,3.54,8.7,92,4200,27,32
178,11248,gas,mpfi,std,four,hatchback,fwd,front,ohc,102.4,175.6,66.5,53.9,2458,four,122,3.31,3.54,8.7,92,4200,27,32
179,16558,gas,mpfi,std,two,hatchback,rwd,front,dohc,102.9,183.5,67.7,52,2976,six,171,3.27,3.35,9.3,161,5200,20,24
180,15998,gas,mpfi,std,two,hatchback,rwd,front,dohc,102.9,183.5,67.7,52,3016,six,171,3.27,3.35,9.3,161,5200,19,24
181,15690,gas,mpfi,std,four,sedan,rwd,front,dohc,104.5,187.8,66.5,54.1,3131,six,171,3.27,3.35,9.2,156,5200,20,24
182,15750,gas,mpfi,std,four,wagon,rwd,front,dohc,104.5,187.8,66.5,54.1,3151,six,161,3.27,3.35,9.2,156,5200,19,24
183,7775,diesel,idi,std,two,sedan,fwd,front,ohc,97.3,171.7,65.5,55.7,2261,four,97,3.01,3.4,23,52,4800,37,46
184,7975,gas,mpfi,std,two,sedan,fwd,front,ohc,97.3,171.7,65.5,55.7,2209,four,109,3.19,3.4,9,85,5250,27,34
185,7995,diesel,idi,std,four,sedan,fwd,front,ohc,97.3,171.7,65.5,55.7,2264,four,97,3.01,3.4,23,52,4800,37,46
186,8195,gas,mpfi,std,four,sedan,fwd,front,ohc,97.3,171.7,65.5,55.7,2212,four,109,3.19,3.4,9,85,5250,27,34
187,8495,gas,mpfi,std,four,sedan,fwd,front,ohc,97.3,171.7,65.5,55.7,2275,four,109,3.19,3.4,9,85,5250,27,34
188,9495,diesel,idi,turbo,four,sedan,fwd,front,ohc,97.3,171.7,65.5,55.7,2319,four,97,3.01,3.4,23,68,4500,37,42
189,9995,gas,mpfi,std,four,sedan,fwd,front,ohc,97.3,171.7,65.5,55.7,2300,four,109,3.19,3.4,10,100,5500,26,32
190,11595,gas,mpfi,std,two,convertible,fwd,front,ohc,94.5,159.3,64.2,55.6,2254,four,109,3.19,3.4,8.5,90,5500,24,29
191,9980,gas,mpfi,std,two,hatchback,fwd,front,ohc,94.5,165.7,64,51.4,2221,four,109,3.19,3.4,8.5,90,5500,24,29
192,13295,gas,mpfi,std,four,sedan,fwd,front,ohc,100.4,180.2,66.9,55.1,2661,five,136,3.19,3.4,8.5,110,5500,19,24
193,13845,diesel,idi,turbo,four,sedan,fwd,front,ohc,100.4,180.2,66.9,55.1,2579,four,97,3.01,3.4,23,68,4500,33,38
194,12290,gas,mpfi,std,four,wagon,fwd,front,ohc,100.4,183.1,66.9,55.1,2563,four,109,3.19,3.4,9,88,5500,25,31
195,12940,gas,mpfi,std,four,sedan,rwd,front,ohc,104.3,188.8,67.2,56.2,2912,four,141,3.78,3.15,9.5,114,5400,23,28
196,13415,gas,mpfi,std,four,wagon,rwd,front,ohc,104.3,188.8,67.2,57.5,3034,four,141,3.78,3.15,9.5,114,5400,23,28
197,15985,gas,mpfi,std,four,sedan,rwd,front,ohc,104.3,188.8,67.2,56.2,2935,four,141,3.78,3.15,9.5,114,5400,24,28
198,16515,gas,mpfi,std,four,wagon,rwd,front,ohc,104.3,188.8,67.2,57.5,3042,four,141,3.78,3.15,9.5,114,5400,24,28
199,18420,gas,mpfi,turbo,four,sedan,rwd,front,ohc,104.3,188.8,67.2,56.2,3045,four,130,3.62,3.15,7.5,162,5100,17,22
200,18950,gas,mpfi,turbo,four,wagon,rwd,front,ohc,104.3,188.8,67.2,57.5,3157,four,130,3.62,3.15,7.5,162,5100,17,22
201,16845,gas,mpfi,std,four,sedan,rwd,front,ohc,109.1,188.8,68.9,55.5,2952,four,141,3.78,3.15,9.5,114,5400,23,28
202,19045,gas,mpfi,turbo,four,sedan,rwd,front,ohc,109.1,188.8,68.8,55.5,3049,four,141,3.78,3.15,8.7,160,5300,19,25
203,21485,gas,mpfi,std,four,sedan,rwd,front,ohcv,109.1,188.8,68.9,55.5,3012,six,173,3.58,2.87,8.8,134,5500,18,23
204,22470,diesel,idi,turbo,four,sedan,rwd,front,ohc,109.1,188.8,68.9,55.5,3217,six,145,3.01,3.4,23,106,4800,26,27
205,22625,gas,mpfi,turbo,four,sedan,rwd,front,ohc,109.1,188.8,68.9,55.5,3062,four,141,3.78,3.15,9.5,114,5400,19,25